lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
,,0,0.15009047091007233,0
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
5e-05,5e-05,1,,
,,1,0.11210596561431885,0
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
0.0001,0.0001,2,,
,,2,0.06093380227684975,0
